sentence_id,token,label
1,We,O
1,are,O
1,looking,O
1,for,O
1,a,O
1,Data,B-JOB_TITLE
1,Scientist,I-JOB_TITLE
1,to,O
1,join,O
1,our,O
1,Bangalore,B-LOCATION
1,office,O
1,.,O
1,The,O
1,ideal,O
1,candidate,O
1,has,O
1,experience,O
1,with,O
1,Python,B-PROGRAMMING_LANGUAGE
1,",",O
1,SQL,B-TOOL
1,",",O
1,and,O
1,machine,B-SKILL_TECH
1,learning,I-SKILL_TECH
1,frameworks,O
1,like,O
1,TensorFlow,B-FRAMEWORK
1,or,O
1,PyTorch,B-FRAMEWORK
1,.,O
1,Employment,O
1,type,O
1,is,O
1,full-time,B-EMPLOYEMENT_TYPE
1,.,O
2,Infosys,B-COMPANY
2,is,O
2,hiring,O
2,a,O
2,Software,B-JOB_TITLE
2,Engineer,I-JOB_TITLE
2,with,O
2,strong,O
2,Java,B-PROGRAMMING_LANGUAGE
2,and,O
2,Spring,B-FRAMEWORK
2,Framework,I-FRAMEWORK
2,knowledge,O
2,.,O
2,The,O
2,role,O
2,is,O
2,based,O
2,in,O
2,Hyderabad,B-LOCATION
2,and,O
2,requires,O
2,good,O
2,communication,B-SKILL_TECH
2,skills,I-SKILL_TECH
2,.,O
2,Employment,O
2,type,O
2,:,O
2,full-time,B-EMPLOYEMENT_TYPE
2,.,O
3,Amazon,B-COMPANY
3,is,O
3,seeking,O
3,a,O
3,Backend,B-JOB_TITLE
3,Developer,I-JOB_TITLE
3,skilled,O
3,in,O
3,Node.js,B-FRAMEWORK
3,",",O
3,AWS,B-TOOL
3,and,O
3,Docker,B-TOOL
3,.,O
3,This,O
3,position,O
3,is,O
3,located,O
3,in,O
3,Chennai,B-LOCATION
3,.,O
3,Candidates,O
3,with,O
3,01-Feb,O
3,years,O
3,of,O
3,experience,O
3,are,O
3,preferred,O
3,.,O
3,Employment,O
3,type,O
3,:,O
3,contract,B-EMPLOYEMENT_TYPE
3,.,O
4,We,O
4,need,O
4,a,O
4,Frontend,B-JOB_TITLE
4,Developer,I-JOB_TITLE
4,proficient,O
4,in,O
4,React,B-FRAMEWORK
4,",",O
4,JavaScript,B-PROGRAMMING_LANGUAGE
4,",",O
4,and,O
4,HTML,B-TOOL
4,/,I-TOOL
4,CSS,I-TOOL
4,.,O
4,The,O
4,company,O
4,is,O
4,TCS,B-COMPANY
4,",",O
4,and,O
4,the,O
4,job,O
4,location,O
4,is,O
